goIdx,name,category,catNo,desc,source
4778,이호선,강연자,87,상담을 통해 세대 간 소통을 이끄는 따뜻한 상담 전문가,https://www.artsro.com/right/enter_view.html?GoIdx=4778&CatNo=87
4768,김지윤,강연자,87,“정치·사회 분야 강연으로 대중과 소통하는 전문가.”,https://www.artsro.com/right/enter_view.html?GoIdx=4768&CatNo=87
4641,이정모,강연자,87,대한민국의 과학자이자 펭귄각종과학관의 관장,https://www.artsro.com/right/enter_view.html?GoIdx=4641&CatNo=87
4554,한문철,강연자,87,"""100대 0입니다."" 명쾌한 도로의 해결사",https://www.artsro.com/right/enter_view.html?GoIdx=4554&CatNo=87
4497,박태웅,강연자,87,대한민국의 한겨레신문 기자 출신 기업가,https://www.artsro.com/right/enter_view.html?GoIdx=4497&CatNo=87
4496,이종범,강연자,87,대한민국의 웹툰 작가이자 스토리 텔링 교육자,https://www.artsro.com/right/enter_view.html?GoIdx=4496&CatNo=87
4493,송길영,강연자,87,대한민국의 빅 데이터 전문가,https://www.artsro.com/right/enter_view.html?GoIdx=4493&CatNo=87
4292,이낙준,강연자,87,"이비인후과 전문의이자 웹소설 작가, 유튜버, 교수",https://www.artsro.com/right/enter_view.html?GoIdx=4292&CatNo=87
4234,항성,강연자,87,"온라인콘텐츠창작자, 교육인",https://www.artsro.com/right/enter_view.html?GoIdx=4234&CatNo=87
4232,박성현,강연자,87,“투자·경제 베스트셀러 작가이자 청소년 금융 교육과 콘텐츠 제작에 힘쓰는 박성현 대표”,https://www.artsro.com/right/enter_view.html?GoIdx=4232&CatNo=87
4212,조영태,강연자,87,대한민국 인구학자 서울대 조영태 교수가 제시하는 미래를 바라보는 새로운 눈(眼),https://www.artsro.com/right/enter_view.html?GoIdx=4212&CatNo=87
4169,정호승,강연자,87,삶의 본질에 관한 글을 쓰는 시인,https://www.artsro.com/right/enter_view.html?GoIdx=4169&CatNo=87
3895,김홍신,강연자,87,대한민국 최초의 밀리언셀러 소설가,https://www.artsro.com/right/enter_view.html?GoIdx=3895&CatNo=87
3550,임용한 박사,강연자,87,"현실적인 통찰력과 예리한 분석을 바탕으로 한, 그 누구보다 본질적이고 합리적이지만 색다른 시각",https://www.artsro.com/right/enter_view.html?GoIdx=3550&CatNo=87
3507,배정원,강연자,87,대한민국의 세종대학교 교수이며 성교육인이자 작가,https://www.artsro.com/right/enter_view.html?GoIdx=3507&CatNo=87
3493,조승연,강연자,87,대한민국의 작가 및 방송인,https://www.artsro.com/right/enter_view.html?GoIdx=3493&CatNo=87
2619,김수인,강연자,87,사람과 조직을 연구하고 소통과 성장으로 안내합니다.,https://www.artsro.com/right/enter_view.html?GoIdx=2619&CatNo=87
802,최태성,강연자,87,모두의 큰별 쌤 '최태성',https://www.artsro.com/right/enter_view.html?GoIdx=802&CatNo=87
739,황석영,강연자,87,시대를 대표한다 한국 문단의 거목 '황석영',https://www.artsro.com/right/enter_view.html?GoIdx=739&CatNo=87
738,서희태,강연자,87,"클래식의 대중화, 국악의 세계화, 예술의 보편화를 위해 꾸준히 노력하는 '서희태'",https://www.artsro.com/right/enter_view.html?GoIdx=738&CatNo=87
573,김창옥,강연자,87,"대한민국 최고의 명강사, 가슴을 울리는 강의!",https://www.artsro.com/right/enter_view.html?GoIdx=573&CatNo=87
562,김미경,강연자,87,꿈은 몸이 똑똑한 사람이 이룬다. 아트스피치 No.1 '김미경',https://www.artsro.com/right/enter_view.html?GoIdx=562&CatNo=87
4693,생각대로 사는 여자(박제인),강연자,88,"퍼스널 브랜딩, 콘텐츠 마케팅 강사 '생각대로 사는 여자 박제인'",https://www.artsro.com/right/enter_view.html?GoIdx=4693&CatNo=88
4427,조지은,강연자,88,한국이 낳은 세계적인 언어학자 옥스퍼드의 조지은 작가,https://www.artsro.com/right/enter_view.html?GoIdx=4427&CatNo=88
4426,이학준,강연자,88,생과 사를 넘나들던 기자이자 다큐 감독,https://www.artsro.com/right/enter_view.html?GoIdx=4426&CatNo=88
4422,이세영 (무니),강연자,88,팔로워 1.4만 일러스트레이터 작가,https://www.artsro.com/right/enter_view.html?GoIdx=4422&CatNo=88
4421,김수윤 (소금툰),강연자,88,팔로워 11.5만의 인스타툰 작가,https://www.artsro.com/right/enter_view.html?GoIdx=4421&CatNo=88
4228,김영아,강연자,88,치유 심리학자 김영아,https://www.artsro.com/right/enter_view.html?GoIdx=4228&CatNo=88
4174,김재원,강연자,88,한국사 스토리텔러,https://www.artsro.com/right/enter_view.html?GoIdx=4174&CatNo=88
