idx,name,title,cate,source
6,김창옥,김창옥휴먼컴퍼니 대표,"동기부여, 열정, 프로정신, 인생스토리, 도전, 성공, 자기관리, 삶의자세, 자기계발, 꿈, 비전, 마인드셋,소통, 커뮤니케이션, 관계, 스피치, 가족, 부부,교육, 자녀교육, 인성, 부모교육,힐링, 웃음, 행복",https://www.hooh.kr/sub/teacher/next.asp?m_idx=6
26,김준혁,"국회의원, 전)교수","인문학, 역사, 고전, 한국사",https://www.hooh.kr/sub/teacher/next.asp?m_idx=26
27,한명수,주)우아한형제들 CCO,"경영/조직, 경영, 리더십, 조직문화, 혁신, 조직활성화, 협력, 협업, 상생,소통,창의/마케팅, 상상력, 창의력, 광고, 마케팅, 콘텐츠",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27
46,김진택,포스텍 IT융합공학과 교수,"AI/미래, 트렌드, 디지털기술, IT, Ai(인공지능), DX, 미래기술, 융합,창의/마케팅, 콘텐츠,사회/환경, ESG",https://www.hooh.kr/sub/teacher/next.asp?m_idx=46
58,허진모,작가,"인문학, 역사, 고전, 철학, 미술, 예술, 세계, 문화, 한국사, 문학,사회/환경, 정치",https://www.hooh.kr/sub/teacher/next.asp?m_idx=58
52,최명화,"㈜블러썸미 대표, 서강대학교 교수","동기부여, 도전,경영/조직, 경영, 리더십, 조직문화, 조직관리, 조직활성화, CEO, 협력, 협업, 상생,소통, 커뮤니케이션,창의/마케팅, 상상력, 마케팅",https://www.hooh.kr/sub/teacher/next.asp?m_idx=52
85,정우열,정신건강의학과 전문의,"건강, 스트레스, 심리, 정신,교육, 자녀교육, 육아, 부모교육",https://www.hooh.kr/sub/teacher/next.asp?m_idx=85
92,남민,여행작가,"인문학, 역사, 고전, 예술, 문화,교육, 글쓰기,힐링, 여행",https://www.hooh.kr/sub/teacher/next.asp?m_idx=92
98,박원갑,국민은행 부동산 수석전문위원,"경제, 금융, 주식, 자산관리, 재무설계, 부동산, 재테크",https://www.hooh.kr/sub/teacher/next.asp?m_idx=98
109,이수정,경기대학교 범죄심리학과 교수,"건강, 심리, 정신,교육, 여성학,사회/환경, 사회이슈",https://www.hooh.kr/sub/teacher/next.asp?m_idx=109
133,조용민,언바운드랩데브 대표,"동기부여, 자기관리, 자기계발, 비전,AI/미래, 트렌드, Ai(인공지능), DX,경영/조직, 리더십, 조직문화, 혁신, 목표관리, CEO, 변화, 창업, 스타트업,창의/마케팅, 마케팅",https://www.hooh.kr/sub/teacher/next.asp?m_idx=133
134,류시형,"여행작가, 요리사, 사진작가","동기부여, 열정, 인생스토리, 도전, 성공, 꿈, 비전,경영/조직, 창업,힐링, 여행,취업",https://www.hooh.kr/sub/teacher/next.asp?m_idx=134
83,라영환,한국사 강사,"인문학, 역사, 세계, 문화, 한국사,교육, 자녀교육",https://www.hooh.kr/sub/teacher/next.asp?m_idx=83
167,손영복,공간경영 전문가,"동기부여, 자기관리, 자기계발,경영/조직, 목표관리,소통, 커뮤니케이션,정리수납",https://www.hooh.kr/sub/teacher/next.asp?m_idx=167
106,임희성,현대자동차 전국판매왕,"동기부여, 열정, 프로정신, 인생스토리, 도전, 성공, 자기계발, 꿈,세일즈, 판매, 고객관리",https://www.hooh.kr/sub/teacher/next.asp?m_idx=106
178,임진모,음악평론가,"동기부여, 열정, 삶의자세,인문학, 예술, 문화, 음악,소통,창의/마케팅, 창의력",https://www.hooh.kr/sub/teacher/next.asp?m_idx=178
189,김주미,소울뷰티디자인 대표,"이미지메이킹, 뷰티, 스타일링",https://www.hooh.kr/sub/teacher/next.asp?m_idx=189
208,오세득,요리연구가,"동기부여, 열정, 인생스토리, 도전, 삶의자세, 비전,경영/조직, 창업,세일즈, 판매, 고객관리",https://www.hooh.kr/sub/teacher/next.asp?m_idx=208
242,정재찬,한양대학교 국어교육학과 정교수,"동기부여, 삶의자세,인문학, 문학, 시",https://www.hooh.kr/sub/teacher/next.asp?m_idx=242
238,김진석,사진작가,"인문학, 세계, 문화,소통, 커뮤니케이션,힐링, 여행",https://www.hooh.kr/sub/teacher/next.asp?m_idx=238
273,최재붕,성균관대학교 교수,"AI/미래, 트렌드, 디지털기술, IT, Ai(인공지능), DX, 미래기술, 사물인터넷, 비즈니스, 핀테크,인문학, 과학",https://www.hooh.kr/sub/teacher/next.asp?m_idx=273
312,이기용,(주)브이에스엠그룹 대표이사,"창의/마케팅, 마케팅, SNS",https://www.hooh.kr/sub/teacher/next.asp?m_idx=312
219,임홍택,작가,"동기부여, 삶의자세,경영/조직, 경영, 조직문화, 조직관리, 변화, 협력, 협업, 상생,소통, 관계",https://www.hooh.kr/sub/teacher/next.asp?m_idx=219
220,신영철,정신건강의학과 의사,"동기부여, 삶의자세,소통, 관계, 부부,건강, 스트레스, 심리, 정신,교육, 부모교육,힐링, 행복, 마음",https://www.hooh.kr/sub/teacher/next.asp?m_idx=220
309,박준영,변호사,"동기부여, 인생스토리, 삶의자세,힐링, 희망,사회/환경, 사회이슈",https://www.hooh.kr/sub/teacher/next.asp?m_idx=309
325,최형배,원더매직 대표 마술사,"동기부여, 꿈,소통,창의/마케팅, 창의력,힐링, 공연&강연,진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=325
358,임혁필,"개그맨, 샌드아트작가","동기부여, 열정, 인생스토리, 도전,인문학, 미술,창의/마케팅, 창의력,힐링, 웃음, 행복, 유머, 공연&강연",https://www.hooh.kr/sub/teacher/next.asp?m_idx=358
