# mih_agency 발행 목록 (총 100건)
No	발행일	인물/키워드	logNo	제목
1	2026-05-08	NCT 위시	224278264608	[NCT 위시 섭외] 청량한 희망 에너지 K-POP, 대학 축제·브랜드 행사 섭외
2	2026-05-07	추승엽	224278266365	[추승엽 섭외] 싱어게인3 TOP7 감성 록 보컬, 기업 행사·콘서트 섭외
3	2026-05-07	터치드	224278267739	[터치드 섭외] 폭발적인 K-밴드 라이브, 대학 축제·브랜드 페스티벌 섭외
4	2026-05-08	블랙핑크	224279386841	[블랙핑크 섭외] 글로벌 K팝 걸그룹 퀸, 기업 이벤트·브랜드 행사·특별 공연 섭외
5	2026-05-08	세븐틴	224279389373	[세븐틴 섭외] 13인 셀프 프로듀싱 보이그룹, 기업 이벤트·브랜드 행사·공연 섭외
6	2026-05-08	헤이즈	224279390827	[헤이즈 섭외] 감성 R&B 싱어송라이터, 기업 디너쇼·브랜드 행사·특별 공연 섭외
7	2026-05-09	슈퍼주니어	224280321633	[슈퍼주니어 섭외] 한류 1세대 레전드 그룹, 기업 갈라쇼·브랜드 이벤트·20주년 특별 공연 섭외
8	2026-05-09	스트레이키즈	224280326681	[스트레이키즈 섭외] 자체 제작 4세대 글로벌 K팝, 기업 갈라쇼·브랜드 이벤트·대형 공연 섭외
9	2026-05-10	조혜련	224281154869	[조혜련 섭외] 아나까나 개그우먼, 기업 행사 MC·연말 공연·토크 강연 섭외
10	2026-05-10	효린	224281155804	[효린 섭외] 서머퀸 파워보컬, 기업 콘서트·대학 축제·K-POP 행사 섭외
11	2026-05-10	투빅	224281156418	[투빅 섭외] 소울 발라드 듀오, 기업 행사·디너쇼·발라드 콘서트 섭외
12	2026-04-23	정성호	224282125816	[정성호 MC 섭외] 성대모사의 달인, 기업 행사 및 결혼식 사회 섭외
13	2026-05-09	황인욱	224282151709	[황인욱 섭외] 포장마차·강변북로 허스키 감성 발라드, 대학 축제·기업 행사·디너쇼 섭외
14	2026-05-11	신화	224282160728	[신화 섭외] 1세대 아이돌 레전드 6인조, 기업 갈라쇼·브랜드 이벤트·30-40대 타깃 공연 섭외
15	2026-05-12	엑소	224283334490	[엑소 섭외] 9인조 K-POP 글로벌 슈퍼스타, 기업 갈라쇼·브랜드 이벤트·대형 콘서트 섭외
16	2026-05-12	홍지윤	224283335050	[홍지윤 섭외] 현역가왕3 우승 트롯 바비, 지역 축제·기업 행사·트로트 콘서트 섭외
17	2026-04-28	츄	224283335648	[츄 섭외] 밝은 에너지 솔로 아티스트, 대학 축제·브랜드 캠페인 섭외
18	2026-05-12	홍대광	224284523580	[홍대광 섭외] 슈퍼스타K4 출신 감성 싱어송라이터, 기업 행사·디너쇼·소극장 콘서트 섭외
19	2026-05-12	하이키	224284524082	[하이키 섭외] 건물 사이에 피어난 장미 4세대 걸그룹, 대학 축제·브랜드 이벤트·K-POP 페스티벌 섭외
20	2026-05-12	프로미스나인	224284524608	[프로미스나인 섭외] Stay This Way 5인조 K-POP 걸그룹, 대학 축제·브랜드 이벤트·페스티벌 섭외
21	2026-05-14	인피니트	224285715051	[인피니트 섭외] 칼군무의 대명사 1세대 K-POP 레전드, 기업 갈라쇼·브랜드 행사·30-40대 타깃 공연 섭외
