# mih_casting 발행 목록 (총 107건)
No	발행일	인물/키워드	logNo	제목
1	2026-05-08	방탄소년단	224279377862	[방탄소년단 섭외] 글로벌 K팝 아이콘 BTS, 기업 이벤트·브랜드 행사·특별 무대 섭외
2	2026-05-08	아이브	224279380729	[아이브 섭외] 4세대 K팝 퀸 IVE, 대학 축제·기업 이벤트·브랜드 행사 공연 섭외
3	2026-05-08	워너원	224279384351	[워너원 섭외] 프듀101이 탄생시킨 전설의 11인, 팬미팅·기념 공연·특별 행사 섭외
4	2026-05-09	빅뱅	224280299150	[빅뱅 섭외] K팝 역사를 바꾼 레전드 그룹, 기업 갈라쇼·브랜드 이벤트·시상식 특별 무대 섭외
5	2026-05-09	엔하이픈	224280303751	[엔하이픈 섭외] 다크 감성 4세대 K팝, 대학 축제·브랜드 이벤트·기업 공연 섭외
6	2026-05-09	트와이스	224280309500	[트와이스 섭외] 데뷔 10년 K팝 대표 걸그룹, 대학 축제·브랜드 이벤트·기업 공연 섭외
7	2026-05-10	르세라핌	224281147544	[르세라핌 섭외] 4세대 K-POP 걸그룹, 기업 콘서트·브랜드 파티·K-POP 페스티벌 섭외
8	2026-05-10	린	224281148124	[린 섭외] OST 여왕 감성 발라드, 기업 행사·디너쇼·콘서트 섭외
9	2026-05-10	퀸와사비	224281148771	[퀸와사비 섭외] 한국의 카디비 여성 래퍼, 기업 행사·브랜드 파티·힙합 이벤트 섭외
10	2026-05-10	태연	224281149398	[태연 섭외] 소녀시대 메인보컬 · 솔로 10년, 기업 프리미엄 콘서트·K-POP 이벤트 섭외
11	2026-05-20	효린	224281155804	[효린 섭외] SHOTTY·Dally 퍼포먼스 퀸, 기업 행사·대학 축제·페스티벌 섭외
12	2026-04-29	박명수	224282139964	[박명수 강연 섭외] 현실 조언과 유머 소통, 기업 특강·공공기관 교육 섭외
13	2026-05-06	홍현희	224282146161	[홍현희 섭외] 리액션 강한 예능 MC, 기업 행사·토크 콘서트 섭외
14	2026-05-06	문세윤	224282150815	[문세윤 섭외] 먹방·토크 예능 베테랑, 기업 행사·축제 MC 섭외
15	2026-05-20	황인욱	224282151709	[황인욱 섭외] 포장마차·어쩌면 감성 발라드, 기업 행사·결혼식·지역 축제 섭외
16	2026-05-06	김계란	224283331528	[김계란 섭외] 건강·운동 콘텐츠 제작자, 기업 행사·브랜드 캠페인 섭외
17	2026-05-05	추성훈	224283332054	[추성훈 섭외] 유도·격투기 전설 출신 방송인, 기업 행사·스포츠 콘퍼런스·강연 섭외
18	2026-04-23	이혜성	224283332533	[이혜성 MC 섭외] 서울대 출신 전 KBS 아나운서, 기업 행사 및 결혼식 사회 섭외
19	2026-05-20	홍지윤	224283335050	[홍지윤 섭외] 오라·새벽차 트롯 바비, 지역 축제·기업 행사·결혼식 섭외
20	2026-05-12	하츠투하츠	224284520631	[하츠투하츠 섭외] SM 5년 만의 신인 걸그룹, 대학 축제·브랜드 이벤트·K-POP 페스티벌 섭외
21	2026-05-12	한로로	224284521743	[한로로 섭외] 올해의 음악인 인디 싱어송라이터, 대학 축제·라이브홀 콘서트·브랜드 행사 섭외
22	2026-05-12	피프티피프티	224284522588	[피프티피프티 섭외] Cupid 글로벌 바이럴 K-POP 걸그룹, 대학 축제·브랜드 이벤트·페스티벌 섭외
23	2026-05-12	우주소녀	224285712581	[우주소녀 섭외] 10주년 K-POP 걸그룹 WJSN, 대학 축제·브랜드 이벤트·페스티벌 섭외
24	2026-05-14	베이비몬스터	224285713182	[베이비몬스터 섭외] YG 3국 7인조 4세대 걸그룹, 대학 축제·브랜드 이벤트·K-POP 페스티벌 섭외
25	2026-05-14	킥플립	224285713720	[킥플립 섭외] JYP 보이그룹 '눈에 거슬리고 싶어' 음방 1위, 기업 갈라쇼·K-POP 페스티벌·브랜드 이벤트 섭외
26	2026-05-05	탁재훈	224285714325	[탁재훈 섭외] 컨츄리꼬꼬 출신 만능 엔터테이너, 기업 송년회·시상식·토크 콘서트 섭외
27	2026-05-20	폴킴	224286749057	[폴킴 섭외] 너를 만나·모든 날 모든 순간 감성 발라드, 기업 행사·결혼식·대학 축제 섭외
28	2026-04-24	원밀리언	224286755326	[원밀리언 섭외] 글로벌 K-댄스 아이콘, 브랜드 런칭 · 대학 축제 · 팝업 공연 섭외
29	2026-04-29	카더가든	224286755925	[카더가든 섭외] 짙은 음색 싱어송라이터, 대학 축제·기업 행사 섭외
30	2026-04-24	제로베이스원	224286756724	[제로베이스원 섭외] 9인 완전체 종료 후 멤버별 섭외 가이드 · 5인 체제 · 신인 그룹 · 개별 활동
31	2026-05-05	송소희	224286758384	[송소희 섭외] 경기민요와 팝을 잇는 싱어송라이터, 전통문화 행사·시민 음악회·페스티벌 섭외
32	2026-04-29	바다	224287531757	[바다 섭외] 세대를 잇는 디바 라이브, 기업 행사·축제·콘서트 섭외
33	2026-05-05	김보경	224287532319	[김보경 섭외] OST 감성 파워 보컬, 기업 행사·축제 섭외
34	2026-05-05	허용별	224287553043	[허용별 섭외] 허각 신용재 임한별 보컬 트리오, 기업 송년회·웨딩·시민 콘서트 섭외
35	2026-05-16	로켓펀치	224287554716	[로켓펀치 섭외] FLASH·Chiquita 히트곡 K팝 걸그룹, 대학 축제·브랜드 행사·팬미팅 섭외
36	2026-05-17	영탁	224289224267	[영탁 섭외] 미스터트롯 준우승·찐이야·니가 왜 거기서 나와, 지역 축제·기업 행사·트로트 콘서트 섭외
37	2026-05-17	틴탑	224289230529	[틴탑 섭외] 미치겠어·쉽지 않아 2세대 아이돌 레전드, 기업 행사·대학 축제·팬미팅 섭외
38	2026-05-17	진성	224289231650	[진성 섭외] 안동역에서·보릿고개 트로트 국민가수, 지역 축제·기업 행사·트로트 콘서트 섭외
39	2026-05-16	임영웅	224289498379	[임영웅 섭외] 대한민국 트로트·발라드 대표 가수, 기업 행사·시민 콘서트·문화 축제 섭외
40	2026-05-17	장윤정	224289499153	[장윤정 섭외] 트로트 여왕 라이브, 지역 축제·기업 행사·효도 콘서트 섭외
41	2026-05-19	키노	224289500067	[키노 섭외] 펜타곤 메인댄서 출신 솔로 아티스트, 대학 축제·브랜드 행사 섭외
42	2026-05-17	팬타곤 키노	224290681773	[키노 섭외] 펜타곤 메인댄서 출신 솔로 아티스트, 대학 축제·브랜드 행사 섭외
43	2026-05-19	강진	224290682705	[강진 섭외] 땡벌·막걸리 한잔 국민 트로트 가수, 지역 축제·기업 행사·송년회 공연 섭외
44	2026-05-19	안성훈	224290683836	[안성훈 섭외] 미스터트롯2 우승자·엄마꽃 트로트 가수, 지역 축제·기업 행사·송년회 공연 섭외
45	2026-05-19	그리	224290684681	[그리 섭외] 힙합 감성 래퍼, 대학 축제·기업 행사·버스킹 페스티벌 섭외
46	2026-05-20	선미	224291995716	[선미 섭외] Gashina·Heroine 퍼포먼스 아티스트, 대학 축제·기업 행사·페스티벌 섭외
47	2026-05-20	제이세라	224291996091	[제이세라 섭외] 언제나사랑해·가슴으로운다 감성 발라드, 기업 행사·결혼식·지역 축제 섭외
48	2026-05-20	장덕철	224291996450	[장덕철 섭외] 그날처럼·이사 감성 발라드 보컬 트리오, 기업 행사·결혼식·지역 축제 섭외
49	2026-05-20	하현우	224291996800	[하현우 섭외] 복면가왕 9연승 국카스텐 록 보컬, 기업 행사·대학 축제·페스티벌 섭외
50	2026-05-17	이수연	224291997118	[이수연 섭외] 미스트롯3·현역가왕3 TOP7 트로트 신동 국민손녀, 지역 축제·기업 행사·트로트 콘서트 섭외
51	2026-05-17	홍진영	224291997378	[홍진영 섭외] 잘가라·오늘밤에 트로트 여제, 지역 축제·기업 행사·트로트 콘서트 섭외
52	2026-05-17	트리플에스	224291997734	[트리플에스 섭외] Girls Never Die·깨어 24인조 K팝 걸그룹, 기업 행사·대학 축제·K팝 콘서트 섭외
53	2026-05-21	하현상	224292324445	[하현상 섭외] 슈퍼밴드 우승 싱어송라이터, 대학 축제·음악 페스티벌·기업 행사 섭외
54	2026-05-21	박재범	224292326980	[박재범 섭외] 힙합·R&B 글로벌 아티스트, 기업 행사·페스티벌·브랜드 이벤트 섭외
55	2026-05-20	딘딘	224292737691	[딘딘 섭외] 울었어·Lollipop 감성 래퍼·뮤직하이 DJ, 기업 행사·대학 축제·힙합 콘서트 섭외
56	2026-05-21	닐로	224292738379	[닐로 섭외] 감성 발라드 싱어송라이터, 대학 축제·기업 행사·프라이빗 콘서트 섭외
57	2026-05-21	권은비	224292739160	[권은비 섭외] 워터밤 여신 K-POP, 대학 축제·지역 페스티벌·기업 행사 연예인 섭외
58	2026-05-20	잔나비	224293584905	[잔나비 섭외] 주저하는 연인들을 위해·여름가을겨울봄 인디 록 밴드, 대학 축제·페스티벌·기업 행사 섭외
59	2026-05-22	윤하	224293585913	[윤하 섭외] 사건의 지평선·21년 경력 보컬퀸, 기업 행사·연말 콘서트·감성 공연 섭외
60	2026-05-07	제이미	224293586763	[제이미 섭외] 감각적인 R&B 보컬, 대학 축제·브랜드 행사 섭외
61	2026-05-22	오마이걸	224293587605	[오마이걸 섭외] 데뷔 11주년 몽환 감성 6인조, 기업 행사·대학 축제·K-POP 페스티벌 섭외
62	2026-05-19	마이티마우스	224294503322	[마이티마우스 섭외] 18년 경력 힙합 듀오, 기업행사 대학축제 지역축제 섭외
63	2026-05-21	규현	224294503738	[규현 섭외] 슈퍼주니어 메인보컬·뮤지컬 명배우, 기업 행사·연말 공연 섭외
64	2026-05-22	에스파	224294507351	[에스파 섭외] 메타버스 4세대 아이콘·Next Level 글로벌 걸그룹, 기업 행사·브랜드 갈라쇼·K-POP 페스티벌 섭외
65	2026-05-07	장혜리	224295079431	[장혜리 섭외] 미스트롯4 팔방미인 트롯 퍼포머, 지역 축제·기업 행사 섭외
66	2026-05-07	보이넥스트도어	224295081014	[보이넥스트도어 섭외] 청춘 공감 K-POP 퍼포먼스, 대학 축제·브랜드 행사 섭외
67	2026-05-23	청하	224295081425	[청하 섭외] 벌써 12시·SNAPPING K-POP 댄스 퀸, 기업 행사·대학 축제·브랜드 이벤트 섭외
68	2026-05-23	아이유	224296223361	[아이유 섭외] 좋은 날·Celebrity 국민 솔로 아티스트, 기업 행사·브랜드 이벤트·갈라 콘서트 섭외
