# mih_speaker 발행 목록 (총 101건)
No	발행일	인물/키워드	logNo	제목
1	2026-05-07	민수현	224278238253	[민수현 섭외] 정통 트롯 감성 보컬, 지역 축제·효 콘서트·기업 행사 섭외
2	2026-05-07	비투비	224278239987	[비투비 섭외] 믿고 듣는 보컬 그룹, 대학 축제·브랜드 행사·콘서트 섭외
3	2026-05-07	샤이니	224278240731	[샤이니 섭외] 컨템퍼러리 K-POP 레전드, 대학 축제·브랜드 콘서트 섭외
4	2026-05-07	자우림	224278242687	[자우림 섭외] 한국 록의 살아있는 명가, 대학 축제·기업 송년 콘서트·록 페스티벌 섭외
5	2026-05-08	썬킴	224279355563	[썬킴 섭외] 역사 스토리텔러가 펼치는 세계사·리더십, 기업 인문학 특강 강연 섭외
6	2026-05-08	김경일	224279366009	[김경일 섭외] 인지심리학자가 풀어내는 소통·리더십, 기업 특강·메타인지 강연 섭외
7	2026-05-08	김미경	224279369335	[김미경 섭외] 대한민국 대표 자기계발 강사, 기업 특강·여성 리더십·AI 강연 섭외
8	2026-05-08	송길영	224279371983	[송길영 섭외] 마인드 마이너가 읽는 AI 시대, 기업 트렌드 특강·미래 전략 강연 섭외
9	2026-05-09	강형욱	224280280208	[강형욱 섭외] 개통령의 반려동물 공존 철학, 기업 특강·반려동물 행사·가족 이벤트 섭외
10	2026-05-09	유현준	224280280849	[유현준 섭외] 공간으로 세상을 읽는 건축가, 기업 인문학 특강·도시 포럼·대학 강연 섭외
11	2026-05-09	정재승	224280281315	[정재승 섭외] 뇌과학자가 말하는 의사결정과 AI의 미래, 기업 특강·과학 컨퍼런스·대학 강연 섭외
12	2026-05-09	박준	224280290240	[박준 섭외] 시로 위로하는 문단계의 아이돌, 기업 인문학 특강·문학 행사·청소년 독서 강연 섭외
13	2026-05-10	김붕년	224281157226	[김붕년 섭외] 소아청소년 뇌발달 권위자, 기업 특강·학부모 강연·육아 컨퍼런스 섭외
14	2026-05-10	조승연	224281157738	[조승연 섭외] AI 시대 인문학 강연가, 기업 특강·문화 컨퍼런스·대학 강연 섭외
15	2026-05-10	천근아	224281158203	[천근아 섭외] ADHD·자폐 전문 소아정신과 교수, 기업 특강·학부모 강연·발달 컨퍼런스 섭외
16	2026-05-10	홍석천	224282092537	[홍석천 섭외] 30년 방송 경력의 트렌드세터, 기업 특강·행사 MC·외식업 컨퍼런스 섭외
17	2026-04-24	윤윤구	224282103017	[윤윤구 섭외] 학생부 전형의 마술사, EBS 입시 대표강사 · 학부모 대입 설명회 · 지자체 입시 특강
18	2026-04-27	유영만	224282114261	[유영만 교수 섭외] 지식생태학자의 통찰, 기업 특강·리더십 포럼·대학 강연 섭외
19	2026-05-10	김준호	224282115581	[김준호 섭외] KBS 연예대상 개그맨, 기업 행사 MC·시상식 사회·연말 파티 섭외
20	2026-05-06	나민애	224283321258	[나민애 섭외] 서울대 글쓰기 교수, 기업 인문학·학부모 특강 섭외
21	2026-05-06	서은국	224283324962	[서은국 섭외] 행복 심리학 권위자, 기업 특강·공공 인문학 강연 섭외
22	2026-04-27	박위	224283327404	[박위 섭외] 기적을 만드는 위라클 크리에이터, 동기부여 강연·기업 특강·공공기관 행사 섭외
23	2026-04-27	타일러라쉬	224283328103	[타일러 라쉬 섭외] 유창한 한국어의 미국인 방송인, 기업 특강·글로벌 포럼·환경 캠페인 섭외
24	2026-04-23	허성범	224284515690	[허성범 섭외] 카이스트 AI 크리에이터, 대학 강연 및 브랜드 콘텐츠 섭외
25	2026-04-24	차인표	224284516307	[차인표 섭외] 30년 차 명배우 · 옥스퍼드 선정 작가 · 선한 영향력 아이콘, 기업 특강 · 토크 콘서트
26	2026-04-24	파비앙	224284516932	[파비앙 섭외] 한국사 1급 프랑스인 방송인, 다문화 특강 · 기업 글로벌 · 관광 · 교육 행사 섭외
