# other 발행 목록 (총 21건)
No	발행일	인물/키워드	logNo	제목
1	2026-06-01	발라드가수섭외	224302064086	[발라드가수섭외] 기업 행사·결혼식 축가·갈라쇼에 맞는 감성 발라드 공연 섭외
2	2026-06-01	이영지	224302065197	[이영지 섭외] 무대와 예능을 넘나드는 만능 아티스트, 대학 축제·브랜드 행사·기업 행사 섭외
3	2026-06-01	이무진	224302065717	[이무진 섭외] 신호등 그 목소리, 대학 축제·기업 행사·결혼식 축가 섭외
4	2026-05-31	발라드가수섭외	224303206179	[발라드가수섭외] 기업 행사·결혼식 축가·갈라쇼에 맞는 감성 발라드 공연 섭외
5	2026-06-01	백지영	224303210677	[백지영 섭외] 총 맞은 것처럼·사랑 안 해 발라드 디바, 디너쇼·갈라쇼·기업 행사 섭외
6	2026-06-01	케이시	224303211340	[케이시 섭외] 가을밤 떠난 너 감성 발라드, 대학 축제·기업 행사·결혼식 축가 섭외
7	2026-06-01	알리	224304127849	[알리 섭외] 폭발적 가창력의 소울 디바, 콘서트·기업 행사·갈라쇼 섭외
8	2026-06-02	나얼	224304128436	[나얼 섭외] 바람기억·귀로 R&B 소울 보컬리스트, 기업 갈라쇼·디너쇼·시민 콘서트 섭외
9	2026-06-02	소유	224304128910	[소유 섭외] 썸·어깨 씨스타 출신 감성 보컬, 기업 행사·대학 축제·브랜드 이벤트 섭외
10	2026-06-03	싸이	224305169072	[싸이 섭외] 강남스타일로 세계를 사로잡은 K팝 아이콘, 기업 행사·대형 페스티벌·브랜드 파티 섭외
11	2026-06-03	레드벨벳	224305171580	[레드벨벳 섭외] SM 대표 걸그룹, 기업 갈라쇼·대학 축제·K-POP 페스티벌 섭외
12	2026-06-03	god	224305175493	[god 섭외] 어머님께·보고싶다 1세대 아이돌 레전드, 기업 갈라쇼·30-40대 공연 섭외
13	2026-06-04	SG워너비	224305730231	[SG워너비 섭외] 라라라·내 사람 발라드 트리오, 기업 갈라쇼·디너쇼·시민 콘서트 섭외
14	2026-06-04	임창정	224305730775	[임창정 섭외] 소주 한 잔·내가 저지른 사랑 멀티 엔터테이너, 기업 행사·콘서트·디너쇼 섭외
15	2026-06-04	윤종신	224305731280	[윤종신 섭외] 좋니·오르막길 월간 윤종신 싱어송라이터, 기업 행사·콘서트·토크공연 섭외
16	2026-06-04	조성모	224307267383	[조성모 섭외] 아시나요·가시나무 2000년대 발라드 레전드, 기업 갈라쇼·디너쇼·시민 콘서트 섭외
17	2026-06-04	포맨	224307267705	[포맨 섭외] 살다가 한번쯤·고백 R&B 소울 그룹, 기업 갈라쇼·디너쇼·결혼식 공연 섭외
18	2026-06-04	한동근	224307267963	[한동근 섭외] 이 소설의 끝을 다시 써보려 해·그대라는 사치 감성 발라드, 기업 행사·콘서트 섭외
19	2026-06-06	이선희	224307801770	[이선희 섭외] 40년 현역 국민 발라드 디바, 기업 갈라쇼·지역 축제·연말 콘서트 섭외
20	2026-06-06	엠씨더맥스	224307802062	[엠씨더맥스 섭외] 발라드 록 감성 보컬 이수, 기업 갈라쇼·지역 축제·연말 콘서트 섭외
21	2026-06-06	정인	224307802379	[정인 섭외] 소울 R&B 보컬의 정점, 기업 갈라쇼·웨딩 축하공연·지역 축제 섭외
